DANE_COD,AREA_ACADEMICA,GRADO,LOGRO_POSITIVO,LOGRO_NEGATIVO
219212000339,NATURALEZA Y PRODUCCION,10,"Identificar la importancia del suelo, los elementos físicos y químicos que lo componen y realiza las labores de limpieza y adecuación de los espacios de vida (bio-fabrica, estanque artificial para peces e invernadero), conoce e investiga sobre los diferentes procesos técnicos y de manejo de cada proyecto pedagógico productivo. ","NO Identifica la importancia del suelo, los elementos físicos y químicos que lo componen, no realiza las labores de limpieza y adecuación de los espacios de vida (bio-fabrica, estanque artificial para peces e invernadero), NO conoce los diferentes procesos técnicos y de manejo de cada proyecto pedagógico productivo. "
219212000339,NATURALEZA Y PRODUCCION,11,"Realiza la adecuación e instalación de proyecto pedagógico productivo a administrar de grado once, identifica los objetivos y las características del proyecto, elabora los registros y los parámetros técnicos a tener en cuenta y cumple con las labores y actividades diarias de manejo.","NO Realiza la adecuación e instalación de proyecto pedagógico productivo a administrar de grado once, NO identifica los objetivos y las características del proyecto y No realiza los registros de seguimiento de los parámetros técnicos y no cumple actividades diarias de manejo."
219212000339,PENSAMIENTO MATEMATICO,0,"Agrupa, relaciona y compara diferentes cantidades hasta el número 5, utilizando los elementos del tul.","Se le dificulta agrupar, relacionar y comparar diferentes cantidades hasta el número 5, utilizando los elementos del tul."
219212000339,PENSAMIENTO MATEMATICO,1,"Agrupa, relaciona y enumera diferentes cantidades hasta el número 19, utilizando los elementos del tul.","Se le dificulta agrupar, relacionar y enumerar diferentes cantidades hasta el número 19, utilizando los elementos del tul."
219212000339,PENSAMIENTO MATEMATICO,2,"Reconoce y utiliza el valor posicional con números hasta el 999, además estima medidas de longitud en situaciones vivenciadas del contexto.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","Se confunde al reconocer y utilizar el valor posicional con números hasta el 999, ni estima medidas de longitud en situaciones vivenciadas del tul.    "
219212000339,PENSAMIENTO MATEMATICO,3,"Resuelve situaciones prácticas utilizando las operaciones básicas (suma, resta y multiplicación) y estima medidas de longitud en situaciones del tul.","Le cuesta resolver situaciones prácticas utilizando las operaciones básicas (suma, resta y multiplicación) y se le dificulta estimar medidas de longitud en situaciones del tul."
219212000339,PENSAMIENTO MATEMATICO,4,"Identifica los términos y resuelve operaciones básicas, además estima el perímetro en medidas de longitud en situaciones del tul. ","Se le dificulta reconocer los términos y resolver las operaciones básicas, no estima el perímetro en medidas de longitudes en situaciones del tul."
219212000339,PENSAMIENTO MATEMATICO,5,"Identifica los términos y aplica las operaciones básicas en situaciones problemas, además estima el perímetro en polígonos regulares y situaciones del tul. ","Se le dificulta reconocer los términos y aplicar las operaciones básicas en situaciones problemas, ni estima el perímetro en polígonos regulares y situaciones del tul."
219212000339,PENSAMIENTO MATEMATICO,6,"Comprende y aplica las operaciones básicas en situaciones problemas, además maneja los instrumentos geométricos y sus conceptos básicos en situaciones del tul. ","Se le dificulta comprender y aplicar las operaciones básicas en situaciones problemas, también el manejo de los instrumentos geométricos y sus conceptos básicos en situaciones del tul. "
219212000339,PENSAMIENTO MATEMATICO,7,"Identifica los términos de una fracción, resuelve las operaciones con fracciones homogéneas y números decimales en situaciones problemas, además maneja los instrumentos geométricos y sus conceptos básicos en situaciones del tul. ","Se le dificulta identificar los términos de una fracción, resolver las operaciones con fracciones homogéneas y números decimales en situaciones problemas, también el manejo de los instrumentos geométricos y sus conceptos básicos en situaciones del tul. "
